timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375129135088,8,10,42,31,-7,-2,-9,-11,false,135.75
1526375129135088,-9,0,1,9,21,20,7,0,false,134.125
1526375129136081,-3,3,5,-9,-17,-1,20,2,false,128
1526375129136081,0,-1,-7,-7,12,17,-5,6,false,129.875
1526375129157105,7,-7,-23,-21,-10,-23,-7,1,false,117.625
1526375129157105,-8,-1,-6,1,-3,-12,-1,-9,false,123.125
1526375129158095,-10,-7,-7,6,8,30,10,-11,false,130.375
1526375129158095,9,-6,-12,-33,-22,-30,11,13,false,119.25
1526375129172111,3,7,23,31,-24,-16,-15,-6,false,128.375
1526375129172111,0,10,14,4,9,3,-10,-7,false,130.875
1526375129179114,2,-7,-17,10,22,-1,-15,6,false,128
1526375129179114,-5,-3,-1,5,7,6,9,-3,false,129.875
1526375129195120,-11,1,1,-26,-12,15,-1,0,false,123.875
1526375129195120,-8,-3,15,30,-5,-11,12,1,false,131.875
1526375129196121,32,9,1,-28,-14,1,-6,11,false,128.75
1526375129196121,-11,6,2,-13,-18,4,-1,-11,false,122.75
1526375129211131,-2,-8,-20,-24,16,5,5,-2,false,124.25
1526375129211131,-6,-5,-18,-19,12,-2,-1,-1,false,123
1526375129217139,-3,-2,0,-4,-28,-3,6,6,false,124.5
1526375129217139,6,-4,-6,15,-2,-46,-24,-6,false,119.625
1526375129232148,-6,4,7,8,-5,33,-3,-4,false,132.25
1526375129232148,-4,6,33,23,-1,-9,-12,-6,false,131.75
1526375129239154,-6,-1,8,16,23,5,-15,-7,false,130.875
1526375129239154,11,-1,-6,-17,-15,7,6,13,false,127.75
1526375129255164,14,-1,-13,-5,15,-7,31,6,false,133
1526375129255164,-11,-17,-32,-37,-48,-18,-12,-2,false,106
1526375129256161,-19,-4,2,4,3,-1,-2,-17,false,123.75
1526375129256161,-22,0,7,15,3,5,-21,-8,false,125.375
1526375129271170,7,0,-6,2,21,6,-6,4,false,131.5
1526375129271170,25,10,11,7,5,13,21,19,false,141.875
1526375129277178,3,0,-1,-19,14,-2,2,4,false,128.125
1526375129277178,8,-3,-14,21,19,13,9,2,false,134.875
1526375129292184,6,-3,-11,-21,-31,-13,-7,-3,false,117.625
1526375129292184,-16,16,69,63,-11,-22,-7,-2,false,139.25
1526375129299193,6,7,0,-9,8,9,6,10,false,132.625
1526375129299193,-10,-4,2,-25,-54,-10,-9,-18,false,112
1526375129315207,8,-6,-26,1,28,7,-3,12,false,130.625
1526375129315207,-1,3,-26,-28,30,1,5,-16,false,124
1526375129315207,7,-10,-22,4,11,8,8,13,false,130.375
1526375129315207,10,27,83,83,57,18,-2,10,false,163.75
1526375129331210,-3,-5,4,-17,-27,-18,-21,-17,false,115
1526375129331210,1,-7,-24,-17,-17,-11,-4,1,false,118.25
1526375129337216,-9,-3,-14,-26,-14,-5,8,-2,false,119.875
1526375129337216,16,-2,-25,-25,16,15,9,29,false,132.125
1526375129353224,-28,-3,2,25,2,-9,12,-31,false,124.25
1526375129353224,12,0,7,6,29,19,-4,5,false,137.25
1526375129359233,-8,-1,4,17,30,2,-15,2,false,131.875
1526375129359233,4,-1,-12,-14,-2,-9,-9,-14,false,120.875
1526375129375239,-8,2,8,-8,-10,1,6,11,false,128.25
1526375129375239,29,2,-21,-29,-10,7,15,9,false,128.25
1526375129375239,-13,-3,-9,-27,-51,-20,-15,-8,false,110
1526375129375239,-2,1,28,31,45,25,4,-5,false,143.875
1526375129390266,1,11,29,85,49,0,5,5,false,151.125
1526375129390266,-22,-22,-35,-28,29,13,3,23,false,123.125
1526375129397254,23,5,5,-14,-35,-17,7,-6,false,124
1526375129397254,-5,-9,-50,-82,-75,-11,-12,-9,false,96
1526375129411267,-19,14,81,65,82,31,8,0,false,160.75
1526375129411267,-7,-1,0,-4,-78,-36,-36,-9,false,106.625
